"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"GPR98",0,0,0,0,7,1,0,1,0,9,9,9
"GRM7",0,0,0,0,8,1,0,0,0,9,9,9
"KCNB2",0,0,0,0,9,0,0,0,0,9,9,9
"LAMA4",0,0,0,0,6,1,0,2,0,9,9,9
"MDN1",0,0,0,0,8,1,0,0,0,9,9,9
"NDST4",0,0,0,0,9,0,0,0,0,9,9,9
"NF1",1,0,0,0,3,3,0,2,0,9,9,9
"PCDHGA5",1,0,0,0,7,1,0,0,0,9,9,9
"PLCB1",0,0,0,0,8,0,1,0,0,9,9,9
"PPP1R3A",0,0,0,0,6,3,0,0,0,9,9,9
"ROR2",0,0,0,0,8,1,0,0,0,9,9,9
"SACS",1,0,0,0,8,0,0,0,0,9,9,9
"SAGE1",0,0,0,0,7,2,0,0,0,9,9,9
"SLC27A6",0,0,0,0,7,1,0,1,0,9,9,9
"SLITRK3",0,0,0,0,8,1,0,0,0,9,9,9
"SORCS3",1,0,0,0,5,0,0,3,0,9,9,9
"TCHH",1,0,0,0,8,0,0,0,0,9,9,9
"THSD7A",0,0,0,0,8,1,0,0,0,9,9,9
"VPS13C",0,0,0,0,6,2,1,0,0,9,9,9
"XIRP1",0,0,0,0,9,0,0,0,0,9,9,9
"ZNF804B",1,0,0,0,8,0,0,0,0,9,9,9
"ITGA8",0,0,0,0,10,1,0,0,0,11,8,8
"LRRTM4",0,0,0,0,11,0,0,0,0,11,8,8
"UNC13C",0,1,0,0,10,0,0,0,0,11,8,8
"DACH2",0,0,0,0,9,1,0,0,0,10,8,8
"GLI3",0,0,0,0,10,0,0,0,0,10,8,8
"HYDIN",0,0,0,0,9,1,0,0,0,10,8,8
"ITGAX",1,0,0,0,9,0,0,0,0,10,8,8
"LAMA2",0,0,0,0,6,4,0,0,0,10,8,8
"NTRK3",0,0,0,0,9,0,0,1,0,10,8,8
"OR2T4",0,0,0,0,10,0,0,0,0,10,8,8
"PREX1",0,0,0,0,10,0,0,0,0,10,8,8
"RIMS2",0,0,0,0,9,0,0,1,0,10,8,8
"SELP",0,0,0,0,10,0,0,0,0,10,8,8
"SPATA31D1",0,0,0,0,8,2,0,0,0,10,8,8
"SYNE1",0,0,0,0,8,0,0,2,0,10,8,8
"TENM3",0,0,0,0,10,0,0,0,0,10,8,8
"ADAMTS20",0,0,0,0,9,0,0,0,0,9,8,8
"ALPK2",1,0,0,0,7,1,0,0,0,9,8,8
"ATRX",0,0,0,0,9,0,0,0,0,9,8,8
"BCORL1",0,0,0,0,8,1,0,0,0,9,8,8
"BRWD3",0,0,0,0,9,0,0,0,0,9,8,8
"CDH18",0,0,0,0,8,1,0,0,0,9,8,8
"CNTNAP2",0,0,0,0,8,0,0,1,0,9,8,8
"CNTNAP4",0,0,0,0,5,4,0,0,0,9,8,8
"DGKB",0,1,0,0,6,2,0,0,0,9,8,8
"DYSF",0,0,0,0,7,2,0,0,0,9,8,8
"FGD5",0,0,0,0,9,0,0,0,0,9,8,8
"FLNA",0,0,0,0,8,0,0,1,0,9,8,8
"FOLH1",0,0,0,0,7,2,0,0,0,9,8,8
"GRIN3A",0,0,0,0,7,2,0,0,0,9,8,8
"HCRTR2",0,0,0,0,8,0,0,1,0,9,8,8
"HHIPL2",0,0,0,0,9,0,0,0,0,9,8,8
"KCND2",1,0,0,0,8,0,0,0,0,9,8,8
"KCNH1",1,0,0,0,5,2,0,1,0,9,8,8
"KCNT2",0,0,0,0,7,2,0,0,0,9,8,8
